# T24_four_category_v1 | generated 2026-08-16T20:43:09Z | sources derived/cd_conf_classified.parquet sha256=47047c347c1db422 + derived/llama4_stage2_classified.parquet sha256=4b41e1d822ebe8f5 + derived/stage2_classified.parquet sha256=6a3353080dafb189 + derived/stage2b_classified.parquet sha256=3398d8e6234f8082 + config/stimuli_cd.yaml | THE one sanctioned cross-stage read (declared in §10 before C/D collection); stage allowlist enforced in code; pooled rows valid only alongside category rows; stage-1 data never enters
model,category,condition,source_stage,n,k_refusal,refusal_prop,wilson_lo,wilson_hi,k_code_c,k_exits,completion_median,n_compliant,grade,row_kind
gemini25_flash,B,exit_schema,stage2,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
gemini25_flash,B,exit_prose,stage2,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
gemini25_flash,B,exit_both,stage2,60,0,0.0,0.0,0.0602,0,2,1.0,58.0,n=60,category
gemini25_flash,C,none,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
gemini25_flash,C,time_schema,cd_conf,36,12,0.3333,0.2021,0.4967,12,0,1.0,24.0,n=36,category
gemini25_flash,C,note_schema,cd_conf,36,7,0.1944,0.0975,0.3503,7,0,1.0,29.0,n=36,category
gemini25_flash,C,exit_schema,cd_conf,36,12,0.3333,0.2021,0.4967,12,1,1.0,23.0,n=36,category
gemini25_flash,C,exit_prose,cd_conf,36,0,0.0,-0.0,0.0964,0,1,1.0,35.0,n=36,category
gemini25_flash,C,exit_both,cd_conf,36,3,0.0833,0.0287,0.2183,3,2,1.0,31.0,n=36,category
gemini25_flash,D,none,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
gemini25_flash,D,time_schema,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
gemini25_flash,D,note_schema,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
gemini25_flash,D,exit_schema,cd_conf,36,1,0.0278,0.0049,0.1417,1,0,1.0,35.0,n=36,category
gemini25_flash,D,exit_prose,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
gemini25_flash,D,exit_both,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
gemini25_flash,ABCD_pooled,none,join,192,0,0.0,0.0,0.0196,0,0,,,pooled - read only with the category rows above,pooled
