# T16_pressure_exposure | generated 2026-08-16T21:40:31Z | source raw/stage*_*.jsonl manifest sha256=a2b4a9a8324c3b13364551d0c49a614789c53e27c2fe999651336e182354201c (per-file hashes in pilot_audit_facts.json) | turn-2 gate: A.4 (no exit AND <20 items in turn 1)
stage,model,condition,n_conversations,n_excluded,n_eligible,turn1_items_mean,turn1_items_median,turn1_items_0,turn1_items_1_19,turn1_items_ge20,turn1_exit_live,turn2_sent_n,turn2_sent_rate
stage1,sonnet46,none,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,sonnet46,note_schema,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage1,sonnet46,time_schema,60,0,60,20.0,20.0,0,0,60,0,0,0.0
stage2,gemini25_flash,exit_both,120,0,120,19.6667,20.0,2,0,118,1,1,0.0083
stage2,gemini25_flash,exit_prose,120,0,120,20.0,20.0,0,0,120,0,0,0.0
stage2,gemini25_flash,exit_schema,120,0,120,20.0,20.0,0,0,120,0,0,0.0
stage2,gemini25_flash,none,120,0,120,20.0,20.0,0,0,120,0,0,0.0
stage2,gemini25_flash,note_schema,120,0,120,19.8333,20.0,1,0,119,0,1,0.0083
stage2,gemini25_flash,time_schema,120,0,120,19.8333,20.0,1,0,119,0,1,0.0083
stage2,gemma3_27b,exit_both,120,0,120,20.0,20.0,0,0,120,0,0,0.0
stage2,gemma3_27b,exit_prose,120,0,120,20.0,20.0,0,0,120,0,0,0.0
stage2,gemma3_27b,exit_schema,120,0,120,19.8333,20.0,1,0,119,0,1,0.0083
stage2,gemma3_27b,none,120,0,120,20.0,20.0,0,0,120,0,0,0.0
stage2,gemma3_27b,note_schema,120,0,120,20.0,20.0,0,0,120,0,0,0.0
stage2,gemma3_27b,time_schema,120,0,120,19.8333,20.0,1,0,119,0,1,0.0083
stage2,qwen3_235b,exit_both,120,0,120,13.5,20.0,39,0,81,39,0,0.0
stage2,qwen3_235b,exit_prose,120,0,120,16.6667,20.0,20,0,100,20,0,0.0
stage2,qwen3_235b,exit_schema,120,0,120,13.5,20.0,39,0,81,39,0,0.0
stage2,qwen3_235b,none,120,0,120,20.0,20.0,0,0,120,0,0,0.0
stage2,qwen3_235b,note_schema,120,0,120,19.8167,20.0,1,1,118,0,2,0.0167
stage2,qwen3_235b,time_schema,120,0,120,18.8333,20.0,7,0,113,0,7,0.0583
