# T28_exit_recount | generated 2026-08-16T19:31:19Z | sources derived/stage1_exits.jsonl sha256=ac092d8dab005ae4 + derived/stage1_exits_v2.jsonl sha256=e58bf31df353b672 + derived/stage2_exits.jsonl sha256=e832ec374cf721d5 + derived/stage2_exits_v2.jsonl sha256=3f7ddbacc8eebf61 + derived/stage2b_exits.jsonl sha256=08fdeb181f78339c + derived/stage2b_exits_v2.jsonl sha256=08fdeb181f78339c + derived/cd_conf_exits.jsonl sha256=ab14718679256cb1 + derived/cd_conf_exits_v2.jsonl sha256=53bb44ac6200aea3 + derived/cd_screen_exits.jsonl sha256=6cc4c038cdd985e3 + derived/cd_screen_exits_v2.jsonl sha256=6cc4c038cdd985e3 + derived/ladder_exits.jsonl sha256=e6366e7dc5c121a8 + derived/ladder_exits_v2.jsonl sha256=e6366e7dc5c121a8 + derived/ab_ext_exits.jsonl sha256=8168dea609209cfd + derived/ab_ext_exits_v2.jsonl sha256=8168dea609209cfd + derived/llama4_vertex_exits.jsonl sha256=71fbbae105fe80ca + derived/llama4_vertex_exits_v2.jsonl sha256=af84f711aa7ff257 + derived/llama4_stage2_exits.jsonl sha256=bf18b1ca4c905c0c + derived/llama4_stage2_exits_v2.jsonl sha256=bf18b1ca4c905c0c + derived/typearm_exits.jsonl sha256=05e455196c806e25 + derived/typearm_exits_v2.jsonl sha256=8d94959e05b071d7 + derived/screen2_exits.jsonl sha256=ef154350bcdbcba5 + derived/screen2_exits_v2.jsonl sha256=21e0300667ff1d14 | SIDE-BY-SIDE, NOTHING ADOPTED: _v1 columns reproduce every published table; _v2 columns are the same data under the corrected prose-path detector (src/detect_exit.py --v2, METHODOLOGY §10 2026-08-16). The correction is monotone — it adds 45 exits across the study and removes none — and a conversation that becomes an exit leaves the refusal proportion by §8, which is why refusal columns fall where exit columns rise. Whether to adopt is a researcher decision.
stage,model,condition,n,exits_v1,exits_v2,exit_rate_v1,exit_rate_v2,refusals_v1,refusals_v2,refusal_v1,refusal_v2,code_c_v1,code_c_v2,changed
cd_screen,gpt_oss_120b,exit_prose,36,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
cd_screen,gpt_oss_120b,exit_schema,36,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
cd_screen,gpt_oss_120b,none,36,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
cd_screen,gpt_oss_120b,note_schema,36,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
cd_screen,gpt_oss_120b,time_schema,36,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
ladder,gpt_oss_120b,exit_both,12,1,1,0.0833,0.0833,0,0,0.0,0.0,0,0,False
ladder,gpt_oss_120b,exit_schema,12,1,1,0.0833,0.0833,0,0,0.0,0.0,0,0,False
ladder,gpt_oss_120b,none,12,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
ladder,llama4_maverick,exit_both,11,10,10,0.9091,0.9091,0,0,0.0,0.0,0,0,False
ladder,llama4_maverick,exit_schema,12,10,10,0.8333,0.8333,0,0,0.0,0.0,0,0,False
ladder,llama4_maverick,none,11,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
ladder,qwen3_235b,exit_both,12,9,9,0.75,0.75,0,0,0.0,0.0,0,0,False
ladder,qwen3_235b,exit_schema,12,8,8,0.6667,0.6667,0,0,0.0,0.0,0,0,False
ladder,qwen3_235b,none,12,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
ab_ext,deepseek_chat,exit_both,120,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
ab_ext,deepseek_chat,exit_prose,120,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
ab_ext,deepseek_chat,exit_schema,120,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
ab_ext,deepseek_chat,none,120,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
ab_ext,deepseek_chat,note_schema,120,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
ab_ext,deepseek_chat,time_schema,120,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
ab_ext,gpt_oss_120b,exit_both,120,0,0,0.0,0.0,1,1,0.0083,0.0083,1,1,False
ab_ext,gpt_oss_120b,exit_prose,120,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
ab_ext,gpt_oss_120b,exit_schema,120,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
ab_ext,gpt_oss_120b,none,120,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
ab_ext,gpt_oss_120b,note_schema,120,0,0,0.0,0.0,1,1,0.0083,0.0083,1,1,False
ab_ext,gpt_oss_120b,time_schema,120,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
llama4_vertex,llama4_maverick,exit_both,60,24,25,0.4,0.4167,3,2,0.05,0.0333,3,2,True
llama4_vertex,llama4_maverick,exit_prose,60,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
llama4_vertex,llama4_maverick,exit_schema,58,44,44,0.7586,0.7586,4,4,0.069,0.069,4,4,False
llama4_vertex,llama4_maverick,none,60,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
llama4_vertex,llama4_maverick,note_schema,60,0,0,0.0,0.0,17,17,0.2833,0.2833,17,17,False
llama4_vertex,llama4_maverick,time_schema,60,0,0,0.0,0.0,31,31,0.5167,0.5167,31,31,False
llama4_stage2,llama4_maverick,exit_both,120,61,61,0.5083,0.5083,1,1,0.0083,0.0083,1,1,False
llama4_stage2,llama4_maverick,exit_prose,120,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
llama4_stage2,llama4_maverick,exit_schema,120,92,92,0.7667,0.7667,5,5,0.0417,0.0417,5,5,False
llama4_stage2,llama4_maverick,none,120,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
llama4_stage2,llama4_maverick,note_schema,118,0,0,0.0,0.0,24,24,0.2034,0.2034,24,24,False
llama4_stage2,llama4_maverick,time_schema,120,0,0,0.0,0.0,50,50,0.4167,0.4167,49,49,False
typearm,gemini25_flash,exit_both,12,0,0,0.0,0.0,1,1,0.0833,0.0833,1,1,False
typearm,gemini25_flash,exit_prose,12,0,0,0.0,0.0,1,1,0.0833,0.0833,1,1,False
typearm,gemini25_flash,exit_schema,12,0,0,0.0,0.0,2,2,0.1667,0.1667,2,2,False
typearm,gemini25_flash,none,12,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
typearm,gemini25_flash,note_schema,12,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
typearm,gemini25_flash,time_schema,12,0,0,0.0,0.0,2,2,0.1667,0.1667,2,2,False
typearm,gpt_oss_120b,exit_both,12,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
typearm,gpt_oss_120b,exit_prose,12,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
typearm,gpt_oss_120b,exit_schema,12,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
typearm,gpt_oss_120b,none,12,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
typearm,gpt_oss_120b,note_schema,12,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
typearm,gpt_oss_120b,time_schema,12,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
typearm,qwen3_235b,exit_both,12,4,4,0.3333,0.3333,0,0,0.0,0.0,0,0,False
typearm,qwen3_235b,exit_prose,12,1,4,0.0833,0.3333,2,0,0.1667,0.0,1,0,True
typearm,qwen3_235b,exit_schema,12,4,4,0.3333,0.3333,0,0,0.0,0.0,0,0,False
typearm,qwen3_235b,none,12,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
typearm,qwen3_235b,note_schema,12,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
typearm,qwen3_235b,time_schema,12,0,0,0.0,0.0,1,1,0.0833,0.0833,1,1,False
screen2,gemini25_pro,exit_both,59,1,1,0.0169,0.0169,0,0,0.0,0.0,0,0,False
screen2,gemini25_pro,exit_prose,59,1,2,0.0169,0.0339,0,0,0.0,0.0,0,0,True
screen2,gemini25_pro,exit_schema,60,3,3,0.05,0.05,0,0,0.0,0.0,0,0,False
screen2,gemini25_pro,none,60,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
screen2,gemini25_pro,note_schema,60,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
screen2,gemini25_pro,time_schema,60,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
screen2,gpt52,exit_both,60,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
screen2,gpt52,exit_prose,60,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
screen2,gpt52,exit_schema,60,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
screen2,gpt52,none,60,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
screen2,gpt52,note_schema,60,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
screen2,gpt52,time_schema,60,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
screen2,grok46,exit_both,60,2,2,0.0333,0.0333,0,0,0.0,0.0,0,0,False
screen2,grok46,exit_prose,60,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
screen2,grok46,exit_schema,60,2,2,0.0333,0.0333,0,0,0.0,0.0,0,0,False
screen2,grok46,none,60,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
screen2,grok46,note_schema,60,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
screen2,grok46,time_schema,60,0,0,0.0,0.0,0,0,0.0,0.0,0,0,False
